* PowderSprgsNews, 217469130 - Inactive
* WSJGraphics, 19564105 - Active

* ReutersTV, 2561597334 - Active

* YahooFinance, 19546277 - Active

* AFPAfrica, 1612526749 - Active

* FortuneMPW, 346603302 - Active

* DoubleXMag, 22811188 - Active

* bbcworldservice, 786764 - Active

* TeacherBeat, 1372456243 - Active

* Gizmodo, 2890961 - Active

* nbc, 26585095 - Active

* colbertlateshow, 2835886194 - Active

* usatodaysports, 15764001 - Active

* FastCompany, 2735591 - Active

* IrishTimesWorld, 1114319616 - Active

* GlobalPost, 16367286 - Active

* ABCNEWSDC, 329819790 - Inactive

* OnPointRadio, 23112236 - Active

* BBCNorthAmerica, 69329527 - Active

* Wonkblog, 353225544 - Active

* PunditFact, 1733274007 - Active

* IMFNews, 25098482 - Active

* Medium, 571202103 - Active

* CBSNewsPoll, 270508448 - Active

* TheIJR, 474464413 - Active

* ReutersWorld, 335455570 - Active

* BBCBreaking, 5402612 - Active

* CNNSotu, 17112878 - Active

* ppppolls, 61220477 - Active

* atlblog, 22783783 - Active

* AFPusa, 773100678 - Active

* motherboard, 56510427 - Active

* LastWeekTonight, 2317351705 - Active

* CQHealthTweet, 88007912 - Active

* cnnbrk, 428333 - Active

* tabletmag, 28254715 - Active

* Jezebel, 8192222 - Active

* Morning_Energy, 575712418 - Active

* wpmagazine, 219343808 - Active

* ThisAmerLife, 149180925 - Active

* esquire, 20455625 - Active

* FirstLadies, 1449807024 - Active

* tvnewser, 14245378 - Active

* 1a, 793442243734544384 - Active

* drgridlock, 18025557 - Active

* TheCut, 19923638 - Active

* nytopinion, 16686144 - Active

* TheEllenShow, 15846407 - Active

* PageSix, 182107650 - Active

* AFPespanol, 851108442 - Active

* cenmag, 106542267 - Active

* AP_Interactive, 281582764 - Active

* CBSSports, 14885860 - Active

* SportsCenter, 26257166 - Active

* MorningEdition, 20150502 - Active

* lasvegasweekly, 9234352 - Active

* messengerpost, 18234041 - Active

* RecordCourierNV, 46447972 - Active

* LCBulletin, 260329484 - Active

* DailyLobo, 14622091 - Active

* LasVegasSun, 12055942 - Active

* rollcall, 15922214 - Active

* StarNewsGroup, 151562080 - Active

* OhioFindItHere, 26730532 - Active

* TimesTelegram, 2202615703 - Active

* EveningTribune, 459528590 - Active

* FLTimes, 160667346 - Active

* GFChronicle, 1656091255 - Active

* EvilleTimes, 552831446 - Active

* niner_times, 896538924 - Active

* ABQJournal, 14385076 - Active

* TheNewsPress, 14089276 - Active

* CedarKeyBeacon, 42237444 - Active

* LaVozDeAnza, 72676383 - Active

* GainesvilleSun, 16297945 - Active

* EHStar, 17947097 - Active

* DelawareToday, 50144015 - Active

* ElkhartTruth, 20267772 - Active

* SoCalPulse, 53436443 - Active

* TBNwebmaster, 51370388 - Active

* WashTimes, 14662354 - Active

* SunSentinel, 12699932 - Active

* DCSpotlight, 176855088 - Active

* LewisboroLedger, 69657741 - Active

* TheLeaderHerald, 58789743 - Active

* LongIslandPress, 21551945 - Active

* GreatNeckRecord, 2218353349 - Active

* eaglebulletin, 163587353 - Active

* QueensTrib, 818040343 - Active

* stargazette, 14836971 - Active

* DailyFreeman, 97030466 - Active

* RoslynNews, 2221841437 - Active

* timesunion, 17448662 - Active

* wnypapers, 147658618 - Active

* kingston_times, 100859367 - Active

* BeeNewspapers, 346676115 - Active

* MakeElginYours, 556059315 - Active

* MontanaKaimin, 183406000 - Active

* LakePlacidNews, 58806088 - Active

* LockportJournal, 44200674 - Active

* TheIslandNow, 622066615 - Active

* longislandernws, 2559460764 - Active

* poststar, 20538284 - Active

* BwdBulletin, 63767771 - Active

* LeaderTimes, 342954875 - Active

* CityOfLincoln, 116888471 - Active

* PoconoRecord, 7511312 - Active

* OregonBusiness, 16551172 - Active

* DJournalnow, 33609668 - Active

* CDispatch, 30594847 - Active

* BlufftonToday, 16890008 - Active

* TheCowl, 62618311 - Active

* TheEJlive, 725986314 - Active

* GoUpstate, 7227042 - Active

* LULegacy, 1267327508 - Active

* TiogaPaGazette, 309762174 - Active

* TheWilsonTimes, 58366671 - Active

* PennYanNYnews, 20687458 - Active

* Free_Press, 20553814 - Active

* OCtimes, 231918342 - Active

* TriCityHerald, 12763982 - Active

* TheJI, 19410993 - Active

* BrownsvilleNews, 18004786 - Active

* HuntFishTX, 40085795 - Active

* MidRiversNews, 868727474 - Active

* PortASouthJetty, 65429553 - Active

* EchoesSentinel, 478807623 - Active

* ProvBusNews, 21665565 - Active

* StyleWeekly, 17487820 - Active

* UnionLeader, 20073589 - Active

* BucyrusTF, 86178449 - Active

* NOLAnews, 14192680 - Active

* TheRetrospect, 31513759 - Active

* TheBattOnline, 52884959 - Active

* NewCastleNews, 42950890 - Active

* uvureview, 22571200 - Active

* TheChiefLeader, 313344689 - Active

* JacksonAdvocate, 175082708 - Active

* GSentinelTimes, 792058728 - Active

* SoMdNews, 78111823 - Active

* TheCV, 19711438 - Active

* FishNoreast, 155956694 - Active

* OColly, 23025311 - Active

* BeaDailySunNews, 305075576 - Active

* ParisPI, 21031034 - Active

* WilsonPostNews, 104292181 - Active

* LCLnews, 65669674 - Active

* TheTandD, 20941458 - Active

* TheMeckTimes, 312143117 - Active

* PhillyWeekly, 15896072 - Active

* TuftsDaily, 16876049 - Active

